patterns\K,0,1,2,3,4,5,6,7,8
(1- 75),2.00919649395,2.44172321937,2.38164831903,2.16868323254,2.84538650449,2.10568914316,2.69860238944,2.56820002658,1.9348653885
(1- 76),2.31809490586,1.82478812211,1.34000850495,3.57302788564,1.32889557675,3.131875527,2.58111291369,1.62561849103,3.65749033205
(1- 77),2.32655433592,2.70426795072,2.25873509734,1.91625557493,1.96287128419,2.43216356827,2.31786886438,2.4737984761,2.2135874104
(1- 78),3.10121894471,1.80553385117,2.2177728604,1.89756446413,2.10113610952,2.74891841585,2.98477950636,2.02467594257,1.75410007536
(1- 79),2.25450610235,2.57194100858,1.46864117041,1.77800993749,2.35874907986,2.70285927134,2.68864687467,2.15900965746,2.96872699131
(1- 80),2.45769874405,2.47801169207,2.29229058402,2.07083492168,2.43258476911,2.11139312919,2.57606476942,2.08488426606,2.38272023563
(1- 81),2.05472328807,2.13353691895,1.79249010056,2.54435906889,2.58989610988,2.52644580758,1.93621585201,2.48830482595,2.76547274804
(1- 82),2.60123149846,1.98089728954,2.36333959216,2.61340827873,2.0582903533,2.48457859053,1.97559784802,2.36314709049,2.39519974843
(1- 83),2.51488594163,2.22309344271,2.5969930588,2.57823000507,1.95956259477,2.54899492941,2.23794686541,1.81604930135,2.47053834082
(1- 84),2.38463927698,2.19097910912,2.06852916066,2.5321581734,2.22469113309,2.39217695878,2.44681081757,2.18158841424,2.41040066782
(1- 85),1.28456082695,2.41037478581,2.08265655078,2.21849272325,2.1803495166,2.40635787195,3.00679163119,2.27883242011,2.38463487775
(1- 86),2.46263313587,2.66669840129,2.48698312593,2.75980883955,1.81576674087,2.14531272017,2.11148797186,1.91003277928,2.43813812725
(1- 87),2.59340847888,2.75268126951,1.90110542445,2.51069065021,2.04144319143,2.37300463834,1.87249784502,2.23368133098,2.55189939369
(1- 88),2.71710376375,2.54965476973,2.20822708504,2.36033647271,1.96474070262,1.99915172015,2.02451330954,2.48960735669,2.37867658961
(1- 89),2.39645987897,2.64258646909,1.49991489871,2.55933253789,2.37068906915,1.8481168004,2.69472626646,2.35690413717,2.42022194951
(1- 90),2.45282094248,1.9489039242,2.31884067818,2.46254531459,2.30033363686,2.25960376826,2.56899126745,2.09465360212,2.49384580695
(1- 91),2.24937413909,2.10111733017,2.22454834951,2.35443306354,2.2226229099,2.09603149787,3.03001076967,1.99819361677,2.42258791325
(1- 93),1.76848018068,1.90416869051,3.00565301319,1.67045015195,1.8285558681,3.11193705915,2.868158094,1.96231069389,2.83718874082
(1- 94),2.88219836585,1.58686360884,2.88508462561,1.85347834274,2.03569973418,2.23904944503,2.55298486312,2.37971646485,1.91528689076
