patterns\K,0,1,2,3,4,5,6
(100- 99),3.57692347671,1.83849109787,2.32483048306,2.57447097696,2.55583673996,2.44288536076,3.08870124641
(100- 110),2.29941959466,2.57610946715,2.34948758579,2.60033409784,2.55171166857,3.10874008622,2.5513915051
(100- 102),2.60490952868,2.91158087168,2.82970838259,1.97959816207,2.49466913543,2.94945086277,1.98277760569
(100- 65),3.32065735011,2.76178995977,2.60358636369,2.55303606218,1.49935936942,2.73515198943,2.41849484554
(84- 49),2.38516956609,2.30978356464,2.62135966027,2.66894633189,2.59253237702,2.79210913382,2.6723981858
(84- 99),2.64924025928,3.16433329303,2.28981906221,2.72995798537,2.26604223582,2.17271479146,2.67124273561
(84- 110),2.45248768175,2.56607792412,2.62523977604,2.65539790012,2.54630916143,2.48814437481,2.70415450607
(84- 102),2.7056733534,2.33422959154,2.58925499846,2.59325652317,2.73480487328,2.56632038859,2.45414857007
(84- 65),2.53916369844,2.61179233903,2.60391520601,2.2305336543,2.61578569698,2.68194828069,2.67286059928
(61- 49),2.66420312588,2.58123128049,2.84151437815,2.35654511352,2.64007164727,2.42979367277,2.42897050861
(61- 99),2.0712266635,2.80504558231,2.4772344375,2.86938867859,2.77644198845,2.40047086584,2.24521433501
(61- 110),2.4631406365,2.53293812692,2.66098212433,2.46760231907,2.83367592612,2.33213051055,2.67315457795
(61- 102),2.70952275004,2.49248735714,2.98195855185,2.3941298342,2.61478005072,2.04144051435,2.67890918574
(61- 65),2.91578921499,2.38633848608,2.26513778372,2.63093072522,2.5228164799,2.56120998662,2.92331282094
(109- 49),2.70094761103,2.66257682748,2.26305517113,2.45216437955,2.79166126376,2.64048785303,2.46358739619
(109- 99),2.79332738054,2.58517344472,2.3961123097,2.30825769249,2.65900659581,2.60753605174,2.51544311423
(109- 110),3.65459045243,2.81464775884,1.83453352897,3.96783431558,1.94887334872,1.63080136946,2.21601836117
(109- 102),1.8827764895,2.94651739393,3.1982074683,2.4449393407,2.29456946388,2.07192022454,2.74261137612
(109- 65),2.43454222555,2.55086691882,2.51976135273,2.66054472351,2.90120861124,2.22246023974,2.57148040983
(49- 33),2.75016436926,2.54335463216,2.45685948224,2.64315323039,2.83808621345,2.31228150683,2.37654686606
(49- 99),2.40799089628,2.35326442514,2.497393106,2.13350293158,3.02995886751,2.97325537884,2.37704920677
(49- 10),2.93802353044,2.58144002778,2.16125322805,2.97890083153,2.282450005,2.83825928166,1.9375028061
(49- 11),2.93997778892,2.07180161991,2.28043261444,2.13328460169,2.09748567448,3.37794271343,3.40009163526
(49- 49),2.58648672581,2.79910904953,2.28143464787,2.63745354982,2.68634063317,2.45546730291,2.50132522998
(49- 83),2.49554558517,2.35426415162,2.59424718398,2.68695855569,2.60227492792,2.65569637135,2.77655501295
(49- 61),3.11103752481,1.89981668827,2.35371381849,2.81015129468,2.80253214057,2.6712868841,2.33278819419
(99- 33),2.68986927511,2.55666044224,2.64147236269,2.72610643886,2.23672373822,2.26695718876,2.83952752218
(99- 99),2.43302095461,2.74828588783,2.93322851112,1.88091041133,2.57983302418,2.71470713359,2.63275700549
(99- 10),2.60092063994,2.70397464831,2.68210795674,2.54156949532,2.38512824801,2.67646859289,2.20846957309
(99- 49),2.61838265768,2.45980406735,2.6197110759,2.36102209255,2.01016061321,2.74027767754,2.86749563044
(99- 83),2.5009176405,2.63496580844,2.90811758264,2.84365733917,2.2795894228,2.54318578424,2.0591933335
(110- 33),2.62822935265,2.50519268337,2.48115362769,2.31405159895,2.63003233749,2.48080181838,2.96763859805
(110- 99),3.9994520887,1.17414688089,3.2457596083,1.81736594604,3.26591397097,1.95002098602,3.41982202138
(110- 10),3.40627220874,2.32084873476,2.43685377857,2.79463623303,1.63304537144,2.92226356451,2.55664333136
(110- 11),2.40065196348,2.84070070108,2.09454748288,2.73791449564,2.32496541703,2.9013700488,2.43754017941
(110- 49),1.6005971684,2.21382290004,2.20067639681,2.84172387792,3.30523865552,1.40593094925,2.46166089933
(110- 83),2.84727042021,2.27463369669,1.97037185102,3.02421358561,2.73304195146,2.38176049493,2.59121280289
(110- 61),1.9425948613,2.67263799475,2.73045823723,2.43764786055,3.05301369342,1.61171142262,2.97242911316
(102- 33),1.93946823908,2.60577710523,2.56672487442,2.97282146732,2.52967493418,2.51311468666,2.59455482473
(102- 99),2.25772285249,3.23255005574,2.29372131716,2.78697871088,2.85030220647,2.03040820367,1.8778091407
(102- 10),2.33939499683,2.31257776543,2.4904398274,2.86078285048,2.47923182858,2.97465421386,2.41771366793
(102- 11),2.31114204088,2.01410876948,2.5692748374,3.14080192104,2.49683860305,2.67737010809,2.9121786909
(102- 49),2.50152216542,2.34059048007,2.26990687455,3.19112624949,2.59965964716,2.32893143225,2.92850890792
(102- 83),2.8768910439,2.18967770605,2.68753222541,2.90668125254,2.3327588933,2.21824588158,2.696449055
(102- 61),2.54285509799,2.38170039158,2.32014001561,2.4219622732,2.81085238125,2.7130001376,2.86162894671
(65- 33),2.51200688976,2.51593791866,2.45308929026,3.22978103167,2.23090443311,2.75284963492,2.44862573046
(65- 99),2.48666344891,2.00696345527,2.82484809438,2.26793077308,2.3022413635,3.3492497371,2.41169587777
(65- 10),2.22028027944,2.46305567378,1.7730416445,1.66313312183,2.37036634798,1.54499626597,1.11257544166
(65- 11),2.6312472318,1.53676864685,2.10043726637,1.96681105118,0.939663628124,1.1415087475,0.922413951414
(65- 49),2.50023267904,2.15125029107,2.50533115965,2.85920189483,2.91323347241,2.77034910019,2.20064927691
(65- 83),2.48495953623,2.54748373389,3.33947676201,2.49756679064,2.54450988005,2.04841274993,2.64223169291
(65- 61),1.92553229736,2.96801240079,2.86922538442,1.93647836402,2.73863617715,2.57940064751,2.86017429101
(33- 73),2.94325365178,2.25950581729,2.69551961419,2.11758615061,2.37708218995,2.2489035785,3.27351103665
(33- 61),0.800172263873,0.617620974563,0.324011309454,0.933225690119,0.411791280135,0.411982322655,0.285699731987
(99- 73),2.65375800475,2.65376894271,2.84905653913,2.75837912314,2.34071992964,2.34937644856,2.22510195901
(10- 73),2.68716101773,2.23615575518,2.43686042267,3.07815401436,2.58137396789,2.08533825539,2.77726753945
(10- 61),2.70491237514,2.80641971407,2.31097067161,2.45904291481,2.58062948824,2.90265632295,2.24259538611
(11- 73),2.467517508,2.55100899751,1.68900565932,3.37081600957,3.17980410221,2.79388876677,1.17119198875
(11- 61),0.821924081402,0.878883631499,0.738329821952,1.25681931282,1.00081769261,1.02215107609,0.206203092765
(49- 73),2.5819756733,2.32630920928,2.2632813746,2.2368183684,3.13940752851,2.83197004714,2.48868720215
(83- 73),2.89258298305,2.3611371635,2.77555117963,2.43461650314,2.58862899299,2.51388334277,2.53217607769
(83- 61),2.16444968704,2.60182356851,2.56258203465,2.64634198498,2.89213649158,2.47541451135,2.51306822052
(61- 73),2.75951977089,3.0248737391,2.64130587928,2.25377015515,2.5572504012,2.37021310897,2.34339870457
(61- 61),3.49214485772,1.83434140836,2.87799026246,1.83325192634,2.87919407995,2.66859451294,2.79740903158
(73- 100),1.98242356898,2.62159366431,3.00932434532,2.571557338,2.4473301233,2.88665525577,2.18539807216
(73- 34),2.58959485306,2.31245746638,2.7558480475,2.73803705343,2.54088097138,2.60960454441,2.57444950236
(73- 28),2.19667376604,2.47560072386,1.15203786467,2.42417512908,1.69554013679,1.81851066343,1.43966457063
(73- 77),3.0684288732,1.96861169431,1.96606867146,3.36703934718,2.64019596926,2.10653370928,1.98541546796
(73- 108),2.52548998366,2.92416389471,2.57692887319,2.40212446526,2.37679198305,2.42572530241,1.77490303541
(61- 100),1.74258819941,2.85591815375,2.09051877752,2.8557960808,1.86448452245,2.88426105476,1.31292624217
(61- 34),2.5358762905,2.49283274987,2.77330871127,3.2987828275,2.2480100683,1.90692902511,1.42251159556
(61- 28),2.77331734344,2.81800723295,1.86021252636,2.88610486538,2.24215900954,2.4414954948,2.7660598784
(61- 77),2.45500102229,2.70320132872,2.18446484198,3.3228272584,2.45210995934,2.55533812788,2.02628401882
(61- 108),2.71353925999,2.66850599826,2.74117376144,2.76495755734,2.04300275912,2.77221870843,2.11989697162
(100- 34),3.11611408686,2.16220461945,2.57024904691,2.07896806907,3.07224040631,2.81527795729,1.73459364888
(100- 84),2.52211117691,1.97144577947,2.05698825943,1.2926633226,0.863532921613,1.586872162,1.3823225249
(100- 61),1.11270046535,1.03709604311,1.01815318386,0.642455220056,0.291747088901,0.609782531512,0.72225803518
(100- 109),2.23029540689,2.80094044801,2.72291713818,2.5291718842,2.43813695614,1.17730380335,2.64689878228
(34- 34),1.89713982892,3.19345854633,2.24901045066,2.48775880537,2.92866401012,1.63043658583,2.42291225896
(28- 34),2.53199654188,1.93594693288,2.27260651274,2.79314848506,2.61793795935,3.35769850131,2.54659664983
(28- 84),1.34303312888,1.56515927043,1.30353322859,1.56089857632,0.781222400628,1.05563040663,0.462193263916
(28- 61),2.52055420474,2.1268115862,2.99172566067,2.17770554361,2.24879170481,3.14794549504,1.56735107975
(28- 109),3.00764626531,2.83746978468,2.2717569792,2.53175777754,2.49297757536,2.4864663688,2.2451427908
(77- 34),2.02057826275,2.37944631078,2.42668287175,3.08650865342,2.6960620072,1.72165820116,2.53830957431
(77- 84),2.43798933154,2.39005038486,2.68939040286,2.93661302753,2.30706441163,2.91968187729,2.02523323815
(77- 61),1.95211354354,2.49764459692,3.05338614242,2.46139513241,2.59218109222,2.60191477911,2.34925267965
(77- 109),2.5274393441,3.11317493087,1.51428412785,2.32502419141,3.35603011497,2.04362895908,1.32100547083
(108- 34),2.60734665639,2.58676668396,2.43754319905,2.70196621195,2.61493201388,2.44320392946,2.62722791598
(108- 84),2.71689916672,2.78475406963,3.04361914161,2.60156688013,2.47067573205,1.95447315579,2.04723054186
(108- 61),2.6189292512,2.26490700055,2.57347311817,2.44800694285,2.77452434607,2.69700254769,2.60918926247
(108- 109),2.92927537798,2.7424030707,2.33085972392,2.35793593777,2.468782178,2.35953496345,2.91236996058
(34- 80),2.73906268296,2.40699122771,2.24916660114,2.62445263541,2.71417817262,2.85507487487,2.19297887758
(34- 11),2.548040969,1.99762432036,2.92917698518,2.46467216987,2.94626219528,2.44245086853,2.40927374428
(34- 79),2.82326237915,2.48973439194,2.59917175776,2.96038348903,1.98112810195,2.59807554817,2.75370292047
(84- 80),2.32472823648,2.22543976948,2.99544233726,2.5874193915,2.74484709725,2.81101757253,2.09740052388
(84- 11),1.62315956571,2.65016378407,2.63000388485,2.86877868278,2.67123940255,0.98180407872,1.62275014737
(84- 79),2.52445580058,2.15598434195,2.63077931549,2.52313099378,2.39734503935,3.0525273679,2.88681707816
(61- 80),2.29662094997,2.44946476879,2.77617432464,1.98067783153,2.15262921028,1.47384221592,3.04652448843
(61- 79),2.87335709751,3.22264642684,2.80829926873,1.99406153445,2.32828396343,2.50015695909,1.89677936888
(109- 80),2.46402789364,2.95150065,2.79495120913,2.83844746709,1.67591608474,2.38814879627,2.3404642358
(109- 11),1.87906670963,2.35127642758,2.6565632535,2.7938943307,2.75566566537,2.58519651,2.75446172325
